"id","code","name","municipality_id","department_id","postal_code"
13440,"13440000","MARGARITA BOLIVAR","13440","13","133020"
13442,"13442000","MARIA LA BAJA BOLIVAR","13442","13","131060"
13458,"13458000","MONTECRISTO BOLIVAR","13458","13","134070"
13468,"13468000","MOMPOS BOLIVAR","13468","13","132560"
13473,"13473000","MORALES BOLIVAR","13473","13","134540"
13490,"13490000","NOROSI BOLIVAR","13490","13","134510"
13549,"13549000","PINILLOS BOLIVAR","13549","13","134001"
13580,"13580000","REGIDOR BOLIVAR","13580","13","133560"
13600,"13600000","RIO VIEJO BOLIVAR","13600","13","134501"
13620,"13620000","SAN CRISTOBAL BOLIVAR","13620","13","131520"
13647,"13647000","SAN ESTANISLAO BOLIVAR","13647","13","130547"
13650,"13650000","SAN FERNANDO BOLIVAR","13650","13","133001"
13654,"13654000","SAN JACINTO BOLIVAR","13654","13","132030"
13655,"13655000","SAN JACINTO DEL CAUCA BOLIVAR","13655","13","134060"
13657,"13657000","SAN JUAN NEPOMUCENO BOLIVAR","13657","13","132010"
13667,"13667000","SAN MARTIN DE LOBA BOLIVAR","13667","13","133530"
13670,"13670000","SAN PABLO BOLIVAR","13670","13","135040"
13673,"13673000","SANTA CATALINA BOLIVAR","13673","13","130501"
13683,"13683000","SANTA ROSA BOLIVAR","13683","13","130520"
13688,"13688000","SANTA ROSA DEL SUR BOLIVAR","13688","13","135001"
13744,"13744000","SIMITI BOLIVAR","13744","13","135020"
13760,"13760000","SOPLAVIENTO BOLIVAR","13760","13","131501"
13780,"13780000","TALAIGUA NUEVO BOLIVAR","13780","13","132540"
13810,"13810000","TIQUISIO BOLIVAR","13810","13","134047"
13836,"13836000","TURBACO BOLIVAR","13836","13","131001"
13838,"13838000","TURBANA BOLIVAR","13838","13","131010"
13873,"13873000","VILLANUEVA BOLIVAR","13873","13","130530"
13894,"13894000","ZAMBRANO BOLIVAR","13894","13","132040"
15001,"15001000","TUNJA BOYACA","15001","15","150001"
15022,"15022000","ALMEIDA BOYACA","15022","15","153020"
15047,"15047000","AQUITANIA BOYACA","15047","15","152420"
